window_start,site,Chem,conc
1992-09-01,b1,mg_mgl,3.474
1992-09-01,b1,no3,60.5
1992-09-01,b1,Ca,6.127
1992-09-01,b1,NH4,NA
1992-11-03,b1,k_mgl,1.01
1992-11-03,b1,mg_mgl,2.6710000000000003
1992-11-03,b1,no3,33
1992-11-03,b1,Ca,4.8
1992-11-03,b1,NH4,NA
1993-01-05,b1,k_mgl,1.131
1993-01-05,b1,mg_mgl,3.2439999999999998
1993-01-05,b1,no3,107
1993-01-05,b1,Ca,5.162
1993-01-05,b1,NH4,NA
1993-03-09,b1,k_mgl,1.165
1993-03-09,b1,mg_mgl,3.572
1993-03-09,b1,no3,124.6
1993-03-09,b1,Ca,5.617
1993-03-09,b1,NH4,NA
1993-05-11,b1,k_mgl,1.1480000000000001
1993-05-11,b1,mg_mgl,3.211
1993-05-11,b1,no3,28.333333333333332
1993-05-11,b1,Ca,5.574
1993-05-11,b1,NH4,NA
1993-07-13,b1,k_mgl,1.052
1993-07-13,b1,mg_mgl,3.178
1993-07-13,b1,no3,38.66666666666667
1993-07-13,b1,Ca,5.7219999999999995
1993-07-13,b1,NH4,NA
1993-09-14,b1,k_mgl,1.159
1993-09-14,b1,mg_mgl,3.2720000000000002
1993-09-14,b1,no3,26.100000000000005
1993-09-14,b1,Ca,5.811
1993-09-14,b1,NH4,NA
1993-11-16,b1,k_mgl,1.147
1993-11-16,b1,mg_mgl,3.01
1993-11-16,b1,no3,22.166666666666668
1993-11-16,b1,Ca,5.631
1993-11-16,b1,NH4,NA
1994-01-18,b1,k_mgl,1.012
1994-01-18,b1,mg_mgl,3.003
1994-01-18,b1,no3,13.5
1994-01-18,b1,Ca,5.396
1994-01-18,b1,NH4,NA
1994-03-22,b1,k_mgl,1.06
1994-03-22,b1,mg_mgl,3.357
1994-03-22,b1,no3,58.857142857142854
1994-03-22,b1,Ca,6.188
1994-03-22,b1,NH4,NA
1994-05-24,b1,k_mgl,1.1954545454545453
1994-05-24,b1,mg_mgl,3.81
1994-05-24,b1,no3,51.22222222222222
1994-05-24,b1,Ca,6.734545454545454
1994-05-24,b1,NH4,NA
1994-07-26,b1,k_mgl,1.202
1994-07-26,b1,mg_mgl,3.398
1994-07-26,b1,no3,NA
1994-07-26,b1,Ca,6.059
1994-07-26,b1,NH4,NA
1994-09-27,b1,k_mgl,1.109
1994-09-27,b1,mg_mgl,3.167
1994-09-27,b1,no3,NA
1994-09-27,b1,Ca,5.869
1994-09-27,b1,NH4,NA
1994-11-29,b1,k_mgl,NA
1994-11-29,b1,mg_mgl,NA
1994-11-29,b1,no3,NA
1994-11-29,b1,Ca,NA
1994-11-29,b1,NH4,NA
1988-01-05,b2,k_mgl,0.858421052631579
1988-01-05,b2,mg_mgl,2.1336842105263156
1988-01-05,b2,no3,237.41176470588235
1988-01-05,b2,Ca,4.441578947368421
1988-01-05,b2,NH4,18.94736842105263
1988-03-08,b2,k_mgl,0.8263636363636364
1988-03-08,b2,mg_mgl,2.2190909090909092
1988-03-08,b2,no3,209.8181818181818
1988-03-08,b2,Ca,4.092727272727273
1988-03-08,b2,NH4,31.333333333333336
1988-05-10,b2,k_mgl,0.7890909090909091
1988-05-10,b2,mg_mgl,2.1618181818181816
1988-05-10,b2,no3,239.33333333333334
1988-05-10,b2,Ca,3.672727272727273
1988-05-10,b2,NH4,74.42857142857143
1988-07-12,b2,k_mgl,0.78125
1988-07-12,b2,mg_mgl,2.045
1988-07-12,b2,no3,187.14285714285714
1988-07-12,b2,Ca,3.49625
1988-07-12,b2,NH4,14
1988-09-13,b2,k_mgl,0.7766666666666666
1988-09-13,b2,mg_mgl,2.36625
1988-09-13,b2,no3,207.11111111111111
1988-09-13,b2,Ca,4.60375
1988-09-13,b2,NH4,47
1988-11-15,b2,k_mgl,0.885
1988-11-15,b2,mg_mgl,2.381
1988-11-15,b2,no3,212.5
1988-11-15,b2,Ca,4.138
1988-11-15,b2,NH4,NA
1989-01-17,b2,k_mgl,0.897
1989-01-17,b2,mg_mgl,2.825
1989-01-17,b2,no3,232.45454545454547
1989-01-17,b2,Ca,4.599
1989-01-17,b2,NH4,NA
1989-03-21,b2,k_mgl,0.874
1989-03-21,b2,mg_mgl,2.863
1989-03-21,b2,no3,188.1
1989-03-21,b2,Ca,4.462
1989-03-21,b2,NH4,NA
1989-05-23,b2,k_mgl,0.9522222222222222
1989-05-23,b2,mg_mgl,2.5166666666666666
1989-05-23,b2,no3,166.66666666666666
1989-05-23,b2,Ca,4.615555555555556
1989-05-23,b2,NH4,NA
1989-07-25,b2,k_mgl,1.0836363636363637
1989-07-25,b2,mg_mgl,2.5745454545454547
1989-07-25,b2,no3,139.11111111111111
1989-07-25,b2,Ca,4.954545454545455
1989-07-25,b2,NH4,NA
1989-09-26,b2,k_mgl,1.4230769230769231
1989-09-26,b2,mg_mgl,2.9908333333333332
1989-09-26,b2,no3,406.2
1989-09-26,b2,Ca,5.581666666666667
1989-09-26,b2,NH4,NA
1989-11-28,b2,k_mgl,1.209
1989-11-28,b2,mg_mgl,3.1109999999999998
1989-11-28,b2,no3,214.11111111111111
1989-11-28,b2,Ca,6.618
1989-11-28,b2,NH4,NA
1990-01-30,b2,k_mgl,1.317
1990-01-30,b2,mg_mgl,3.08
1990-01-30,b2,no3,188
1990-01-30,b2,Ca,6.578
1990-01-30,b2,NH4,NA
1990-04-03,b2,k_mgl,1.354
1990-04-03,b2,mg_mgl,2.542
1990-04-03,b2,no3,443.7142857142857
1990-04-03,b2,Ca,5.3053333333333335
1990-04-03,b2,NH4,NA
1990-06-05,b2,k_mgl,1.111
1990-06-05,b2,mg_mgl,3.2560000000000002
1990-06-05,b2,no3,220.2
1990-06-05,b2,Ca,6.919
1990-06-05,b2,NH4,NA
1990-08-07,b2,k_mgl,0.9299999999999999
1990-08-07,b2,mg_mgl,3.183
1990-08-07,b2,no3,119.09999999999998
1990-08-07,b2,Ca,7.122
1990-08-07,b2,NH4,NA
1990-10-09,b2,k_mgl,0.889090909090909
1990-10-09,b2,mg_mgl,2.7654545454545456
1990-10-09,b2,no3,150.36363636363637
1990-10-09,b2,Ca,5.922727272727273
1990-10-09,b2,NH4,NA
1990-12-11,b2,k_mgl,0.9881818181818182
1990-12-11,b2,mg_mgl,3.1081818181818184
1990-12-11,b2,no3,170.2
1990-12-11,b2,Ca,6.84
1990-12-11,b2,NH4,NA
1991-02-12,b2,k_mgl,0.843
1991-02-12,b2,mg_mgl,2.938
1991-02-12,b2,no3,138.11111111111111
1991-02-12,b2,Ca,6.742
1991-02-12,b2,NH4,NA
1991-04-16,b2,k_mgl,1.014
1991-04-16,b2,mg_mgl,2.854
1991-04-16,b2,no3,41.33333333333333
1991-04-16,b2,Ca,3.777
1991-04-16,b2,NH4,NA
1991-06-18,b2,k_mgl,0.986
1991-06-18,b2,mg_mgl,3.275
1991-06-18,b2,no3,73.11111111111111
1991-06-18,b2,Ca,5.548
1991-06-18,b2,NH4,NA
1991-08-20,b2,k_mgl,1.3936363636363636
1991-08-20,b2,mg_mgl,2.9836363636363634
1991-08-20,b2,no3,90.81818181818181
1991-08-20,b2,Ca,5.913636363636363
1991-08-20,b2,NH4,NA
1991-10-22,b2,k_mgl,1.273076923076923
1991-10-22,b2,mg_mgl,2.7115384615384617
1991-10-22,b2,no3,226.69230769230768
1991-10-22,b2,Ca,4.760769230769231
1991-10-22,b2,NH4,NA
1991-12-24,b2,k_mgl,1.29
1991-12-24,b2,mg_mgl,2.96
1991-12-24,b2,no3,276.2
1991-12-24,b2,Ca,6.0040000000000004
1991-12-24,b2,NH4,NA
